date,fr
2002/11/30,3.7600
2002/12/31,3.3000
2003/1/31,3.3000
2003/2/28,3.3000
2003/3/31,3.3000
2003/4/30,3.3000
2003/5/31,3.3000
2003/7/31,3.5000
2003/8/31,3.8333
2003/9/30,3.5000
2003/10/31,3.5000
2003/11/30,4.6000
2003/12/31,3.2500
2004/1/31,3.4000
2004/3/31,3.3000
2004/4/30,3.3000
2004/5/31,3.5000
2004/6/30,3.4000
2004/8/31,4.2000
2004/9/30,4.4000
2004/10/31,4.5667
2004/11/30,4.1950
2004/12/31,4.3750
2005/3/31,4.5655
2005/4/30,4.3500
2005/5/31,4.1000
2005/6/30,4.0000
2005/7/31,3.8000
2005/10/31,4.2000
2005/11/30,4.4500
2005/12/31,3.9714
2006/1/31,4.2000
2006/3/31,4.0000
2006/4/30,4.5000
2006/5/31,3.5000
2006/6/30,5.0000
2006/7/31,4.4167
2006/8/31,3.7000
2006/9/30,4.5000
2006/10/31,4.3333
2006/11/30,4.2750
2006/12/31,4.3200
2007/1/31,4.6000
2007/2/28,4.2000
2007/3/31,4.3667
2007/4/30,5.0000
2007/5/31,5.8750
2007/7/31,5.1500
2007/9/30,5.7000
2008/1/31,8.5250
2008/2/29,8.1250
2008/3/31,8.5000
2008/4/30,7.1000
2008/5/31,8.6750
2008/6/30,8.5300
2008/7/31,9.6000
2008/8/31,9.2000
2008/9/30,7.8333
2008/10/31,9.0500
2008/11/30,6.2000
2008/12/31,8.7200
2009/1/31,8.0000
2009/2/28,8.0000
2009/3/31,6.8250
2009/4/30,8.0000
2009/5/31,6.2000
2009/6/30,6.8625
2009/7/31,7.4125
2009/8/31,8.0000
2009/9/30,7.9000
2009/10/31,7.2167
2009/11/30,7.1500
2009/12/31,7.4133
2010/1/31,8.0667
2010/2/28,7.7875
2010/3/31,7.0600
2010/4/30,7.3857
2010/5/31,7.2200
2010/6/30,7.7000
2010/7/31,7.9333
2010/8/31,7.5889
2010/9/30,7.5000
2010/10/31,7.7714
2010/11/30,7.1667
2010/12/31,7.6864
2011/1/31,8.3813
2011/2/28,8.2875
2011/3/31,7.9294
2011/4/30,7.5177
2011/5/31,7.8333
2011/6/30,8.0447
2011/7/31,8.5438
2011/8/31,8.5026
2011/9/30,8.4286
2011/10/31,8.3022
2011/11/30,8.1490
2011/12/31,8.5357
2012/1/31,8.9423
2012/2/29,8.8206
2012/3/31,8.5516
2012/4/30,7.6544
2012/5/31,8.3189
2012/6/30,8.0607
2012/7/31,7.7095
2012/8/31,8.2000
2012/9/30,7.8538
2012/10/31,7.3647
2012/11/30,8.1488
2012/12/31,7.7864
2013/1/31,8.1050
2013/2/28,7.9714
2013/3/31,8.0000
2013/4/30,7.5615
2013/5/31,7.8766
2013/6/30,8.0944
2013/7/31,7.8841
2013/8/31,7.7615
2013/9/30,8.1600
2013/10/31,8.1060
2013/11/30,8.0426
2013/12/31,7.9451
2014/1/31,8.3359
2014/2/28,8.0370
2014/3/31,7.9931
2014/4/30,8.3576
2014/5/31,8.3897
2014/6/30,8.3167
2014/7/31,8.1178
2014/8/31,8.1200
2014/9/30,8.8136
2014/10/31,8.7445
2014/11/30,8.8720
2014/12/31,8.1980
2015/1/31,8.3760
2015/2/28,8.5923
2015/3/31,8.7727
2015/4/30,8.3158
2015/5/31,8.2950
2015/6/30,8.1000
2015/7/31,8.0833
2015/8/31,8.2810
2015/9/30,8.1758
2015/10/31,7.9577
2015/11/30,7.9400
2015/12/31,7.8690
2016/1/31,7.9412
2016/2/29,7.9500
2016/3/31,7.5657
2016/4/30,6.9500
2016/5/31,6.9946
2016/6/30,6.7928
2016/7/31,6.6717
2016/8/31,6.6652
2016/9/30,6.6829
2016/10/31,6.9089
2016/11/30,6.3872
2016/12/31,6.5436
2017/1/31,6.3917
2017/2/28,6.6478
2017/3/31,6.5953
2017/4/30,6.5923
2017/5/31,6.4913
2017/6/30,6.6304
2017/7/31,6.6824
2017/8/31,6.7143
2017/9/30,6.6875
