date,tp
1949/12/31,54167.00 
1950/12/31,55196.00 
1951/12/31,56300.00 
1952/12/31,57482.00 
1955/12/31,61465.00 
1957/12/31,64653.00 
1960/12/31,66207.00 
1962/12/31,67295.00 
1965/12/31,72538.00 
1970/12/31,82992.00 
1971/12/31,85229.00 
1972/12/31,87177.00 
1973/12/31,89211.00 
1974/12/31,90859.00 
1975/12/31,92420.00 
1976/12/31,93717.00 
1977/12/31,94974.00 
1978/12/31,96259.00 
1979/12/31,97542.00 
1980/12/31,98705.00 
1981/12/31,100072.00 
1982/12/31,101654.00 
1983/12/31,103008.00 
1984/12/31,104357.00 
1985/12/31,105851.00 
1986/12/31,107507.00 
1987/12/31,109300.00 
1988/12/31,111026.00 
1989/12/31,112704.00 
1990/12/31,114333.00 
1991/12/31,115823.00 
1992/12/31,117171.00 
1993/12/31,118517.00 
1994/12/31,119850.00 
1995/12/31,121121.00 
1996/12/31,122389.00 
1997/12/31,123626.00 
1998/12/31,124761.00 
1999/12/31,125786.00 
2000/12/31,126743.00 
2001/12/31,127627.00 
2002/12/31,128453.00 
2003/12/31,129227.00 
2004/12/31,129988.00 
2005/12/31,130756.00 
2006/12/31,131448.00 
2007/12/31,132129.00 
2008/12/31,132802.00 
2009/12/31,133450.00 
2010/12/31,134091.00 
2011/12/31,134735.00 
2012/12/31,135404.00 
2013/12/31,136072.00 
2014/12/31,136782.00 
2015/12/31,137462.00 
2016/12/31,138271.00 
